,Dia,Hora, P(MW), Q(Mvar),Nome Elo
Elo_FOZ-IBIUNA,02,00-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,00-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,01-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,01-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,02-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,02-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,03-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,03-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,04-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,04-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,05-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,05-30,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,06-00,3708.0,1814.6399999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,06-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,07-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,07-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,08-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,08-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,09-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,09-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,10-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,10-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,11-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,11-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,12-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,12-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,13-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,13-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,14-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,14-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,15-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,15-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,16-00,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,16-30,2500.0,1228.36,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,17-00,3663.0,1784.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,17-30,3663.0,1784.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,18-00,3162.0,1464.96,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,18-30,3168.0,1468.68,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,19-00,3171.0,1470.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,19-30,3171.0,1470.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,20-00,3171.0,1470.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,20-30,3171.0,1470.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,21-00,3225.0,1504.08,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,21-30,3249.0,1519.0500000000002,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,22-00,3609.0,1749.4499999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,02,22-30,3606.0,1747.5,Elo_FOZ-IBIUNA
