,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,02,00-00,6706.2,-897.0
EXP_NE,02,00-30,6579.6,-847.8000000000001
EXP_NE,02,01-00,6434.8,-1042.3
EXP_NE,02,01-30,6294.9,-1114.8999999999999
EXP_NE,02,02-00,6198.2,-1064.4
EXP_NE,02,02-30,6056.4,-1147.8
EXP_NE,02,03-00,4120.5,-1394.2
EXP_NE,02,03-30,3795.6,-1361.0
EXP_NE,02,04-00,3601.6,-1471.4
EXP_NE,02,04-30,3491.5,-1401.0
EXP_NE,02,05-00,3429.9,-1488.4
EXP_NE,02,05-30,3626.4,-1203.5
EXP_NE,02,06-00,3977.3,-1254.8
EXP_NE,02,06-30,4882.8,-1102.5
EXP_NE,02,07-00,5695.2,-977.3
EXP_NE,02,07-30,6447.1,-877.6
EXP_NE,02,08-00,7005.0,-810.3
EXP_NE,02,08-30,7235.5,-758.0
EXP_NE,02,09-00,7218.0,-733.2
EXP_NE,02,09-30,7330.7,-763.3
EXP_NE,02,10-00,7525.3,-745.0
EXP_NE,02,10-30,7696.4,-699.9000000000001
EXP_NE,02,11-00,7828.0,-570.5
EXP_NE,02,11-30,7758.7,-586.2
EXP_NE,02,12-00,7580.2,-700.9
EXP_NE,02,12-30,7119.9,-751.4000000000001
EXP_NE,02,13-00,6658.7,-842.8
EXP_NE,02,13-30,6095.0,-893.1
EXP_NE,02,14-00,5491.6,-1067.1999999999998
EXP_NE,02,14-30,5075.0,-1116.6
EXP_NE,02,15-00,5512.0,-1033.7
EXP_NE,02,15-30,5703.5,-978.1
EXP_NE,02,16-00,5628.1,-993.2
EXP_NE,02,16-30,5362.6,-960.3
EXP_NE,02,17-00,4200.0,-1249.8
EXP_NE,02,17-30,3592.2,-1410.3
EXP_NE,02,18-00,5156.9,-1380.5
EXP_NE,02,18-30,6053.900000000001,-1370.6
EXP_NE,02,19-00,6186.2,-1299.5
EXP_NE,02,19-30,5860.6,-1307.7
EXP_NE,02,20-00,4726.1,-1433.0
EXP_NE,02,20-30,4390.7,-1430.2
EXP_NE,02,21-00,4438.400000000001,-1450.0
EXP_NE,02,21-30,3978.6,-1551.1
EXP_NE,02,22-00,4404.7,-1285.9
EXP_NE,02,22-30,4479.299999999999,-1326.6
EXP_NE,02,23-00,4445.2,-1317.1000000000001
EXP_NE,02,23-30,4539.6,-1301.8
EXP_NE,03,00-00,3631.2000000000003,-1404.6
EXP_NE,03,00-30,3949.2,-1485.5
EXP_NE,03,01-00,4190.3,-1531.3
EXP_NE,03,01-30,4154.9,-1502.0
EXP_NE,03,02-00,4482.8,-1328.5
EXP_NE,03,02-30,4420.8,-913.5999999999999
EXP_NE,03,03-00,4410.9,-1368.0
EXP_NE,03,03-30,4397.0,-1444.8
EXP_NE,03,04-00,4510.5,-1287.2
EXP_NE,03,04-30,4388.0,-1572.5
EXP_NE,03,05-00,4497.5,-1341.4
EXP_NE,03,05-30,4683.7,-1053.1999999999998
EXP_NE,03,06-00,5178.5,-1001.0999999999999
EXP_NE,03,06-30,6204.400000000001,-1149.9
EXP_NE,03,07-00,7343.7,-970.4000000000001
EXP_NE,03,07-30,8451.5,-420.7
EXP_NE,03,08-00,9163.2,-609.6
EXP_NE,03,08-30,9399.0,-404.00000000000006
EXP_NE,03,09-00,9293.8,-381.70000000000005
EXP_NE,03,09-30,9126.7,-326.69999999999993
EXP_NE,03,10-00,9112.6,-468.29999999999995
EXP_NE,03,10-30,8848.9,-480.00000000000006
EXP_NE,03,11-00,8733.7,-625.3999999999999
EXP_NE,03,11-30,8540.8,-763.8
EXP_NE,03,12-00,8207.7,-570.7
